Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,S,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
1,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,T,T,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,A,A,A,T,F
2,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,T,T,A,A,A,A,A,A,T,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,T,T,T,T,T,A,A,A,T,T,T,T,T,T,A,A,A,A,F
3,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,A,A,T,T,A,A,A,A,A,A,T,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,T,T,T,T,T,A,A,A,T,T,T,T,T,T,A,A,A,A,F
4,F,T,T,T,T,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,A,A,A,A,B,A,A,T,A,A,A,T,T,T,T,A,A,A,A,A,A,A,A,T,T,T,A,A,A,A,A,A,T,T,A,A,A,T,A,A,A,T,T,A,A,A,T,A,A,A,A,A,T,T,T,T,A,A,A,T,T,T,T,T,A,A,A,T,T,T,A,A,A,A,A,A,A,F
5,F,T,T,T,T,T,T,A,A,A,T,T,A,A,A,T,T,T,T,T,T,T,A,A,A,A,B,T,T,T,A,A,A,T,A,A,A,A,A,A,T,A,A,A,A,T,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,T,T,A,A,A,T,A,A,A,A,A,T,T,A,A,A,T,T,T,T,T,T,T,A,A,A,T,T,T,A,A,A,A,T,T,T,F
6,F,T,T,T,T,T,T,A,A,A,A,A,A,A,A,T,T,T,T,T,T,T,A,A,A,A,B,A,A,A,A,A,A,T,A,A,A,A,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,T,T,T,A,A,B,A,A,A,A,T,T,A,A,A,T,A,A,A,A,A,A,T,A,A,A,A,A,A,A,T,T,T,A,A,A,T,T,T,A,A,A,A,T,T,T,F
7,F,T,T,T,T,T,T,A,A,A,A,A,A,A,T,T,T,A,A,A,T,T,T,T,T,T,B,A,A,A,T,T,T,T,A,A,A,A,A,A,T,A,A,A,T,T,T,T,T,T,T,T,T,T,T,A,A,A,B,A,A,A,T,T,T,A,A,A,T,T,T,T,A,A,A,T,A,A,A,A,A,A,A,A,A,A,A,A,A,T,T,A,A,A,T,A,A,A,T,F
8,F,T,T,A,A,A,T,A,A,A,A,A,A,A,T,T,T,A,A,A,T,T,T,T,T,T,B,A,A,A,T,T,T,T,T,T,T,A,A,A,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,A,A,A,B,A,T,T,B,T,T,A,A,A,T,T,T,T,A,A,A,T,T,T,T,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,T,A,A,A,T,F
9,F,T,T,A,A,A,T,A,A,A,T,T,T,T,A,A,A,A,A,A,T,T,T,T,T,T,B,A,A,A,T,T,A,A,A,T,T,A,A,B,A,A,T,A,A,A,T,T,T,T,T,T,T,T,T,A,A,A,B,T,T,T,B,T,T,A,A,A,T,T,T,T,T,T,T,B,T,T,T,T,A,A,A,A,A,A,A,A,A,A,A,A,A,A,T,A,A,A,T,F
10,F,T,T,A,A,A,T,A,A,A,T,T,T,T,A,A,A,A,A,A,T,T,T,T,T,T,B,A,A,A,T,T,A,A,A,T,T,A,A,B,A,A,T,A,A,A,T,T,T,T,T,T,T,T,A,A,A,A,B,A,A,A,B,A,T,A,A,A,T,T,T,T,T,T,T,B,A,A,A,T,A,A,A,T,T,T,T,A,A,A,A,A,T,T,T,T,T,T,T,F
11,F,T,T,A,A,A,T,A,A,A,A,A,A,A,A,A,A,A,A,A,T,T,T,T,T,T,B,A,A,A,T,T,A,A,A,T,T,A,A,B,A,A,T,B,T,T,T,T,T,T,A,A,A,A,A,A,A,A,B,A,A,B,B,A,T,A,A,A,A,A,A,A,T,T,T,B,A,A,A,T,A,A,A,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F
12,F,T,T,A,A,A,T,T,T,A,A,A,A,A,A,A,A,A,A,A,T,T,T,T,T,T,B,T,T,T,T,T,T,T,T,T,T,T,T,B,A,A,T,B,T,T,T,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,T,T,T,B,A,A,A,T,T,T,T,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,F
13,F,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,A,A,A,T,T,T,T,T,T,T,B,T,A,A,A,T,T,T,T,T,T,A,A,B,A,A,T,B,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,T,T,B,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,T,A,A,A,A,A,F
14,F,A,A,A,T,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,A,A,A,A,B,T,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,T,T,T,T,B,T,T,B,B,A,A,A,T,T,T,T,A,A,A,T,T,B,T,T,A,A,A,T,T,T,T,T,A,A,A,A,A,A,A,A,A,A,A,A,A,F
15,F,A,A,A,T,T,T,A,A,A,T,T,T,T,T,T,A,A,A,A,A,A,A,A,A,A,A,T,A,A,A,T,T,B,T,T,T,A,A,B,T,T,T,B,A,A,A,T,T,T,T,A,A,A,T,A,A,A,B,T,T,B,B,A,A,A,T,T,T,T,A,A,A,T,T,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,T,A,A,A,A,A,A,A,A,F
16,F,A,A,A,A,T,T,A,A,A,T,T,T,T,A,A,A,A,A,A,A,A,A,A,A,A,A,T,T,T,A,A,A,B,A,T,T,T,T,B,T,T,T,B,T,T,T,T,T,T,T,A,A,A,T,A,A,A,B,T,T,B,B,A,A,A,A,A,A,T,T,T,T,T,B,B,B,B,B,B,B,B,B,B,B,A,T,A,A,A,T,A,A,A,A,A,A,T,T,F
17,F,T,A,A,A,T,T,A,A,A,T,T,T,T,A,A,A,A,A,T,A,A,A,A,T,T,T,T,A,A,A,A,A,B,A,T,T,B,B,B,B,B,B,B,B,B,B,B,T,T,T,A,A,A,T,A,A,A,T,T,T,B,B,A,A,A,A,A,A,T,T,T,A,A,A,B,T,T,T,T,A,A,A,A,A,A,T,A,A,A,T,A,A,A,A,A,A,T,T,F
18,F,T,A,A,A,T,T,T,T,T,T,T,T,A,A,A,A,T,T,T,A,A,A,A,T,T,T,T,A,A,A,A,A,B,A,A,A,A,T,B,A,A,T,B,B,B,B,B,B,B,B,B,B,B,B,T,T,T,T,T,T,B,B,A,A,A,A,A,A,T,T,T,A,A,A,B,T,T,T,T,A,A,A,A,A,A,T,A,A,A,T,T,T,T,A,A,A,T,T,F
19,F,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,T,A,B,A,A,A,A,T,B,A,A,T,B,A,A,A,T,T,A,A,A,A,A,T,T,T,T,T,A,A,B,A,A,A,A,A,T,T,T,B,B,B,B,B,B,B,B,B,B,B,T,T,T,T,T,T,T,T,B,A,A,T,T,T,T,T,T,T,F
20,F,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,T,A,A,A,T,T,T,T,A,A,A,T,T,T,T,A,A,B,A,A,A,A,T,A,A,A,T,B,A,A,A,T,T,A,A,A,A,A,T,A,A,A,T,A,A,B,A,A,A,A,A,T,T,T,T,T,T,A,B,B,B,B,B,B,B,B,B,B,B,T,T,B,T,B,A,A,T,T,T,T,A,A,A,F
21,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,A,T,T,T,T,A,A,A,T,T,T,T,A,A,B,A,A,A,A,T,A,A,A,T,B,A,A,A,T,T,A,A,A,A,A,T,A,A,A,A,A,A,B,A,A,A,A,A,A,T,T,T,T,T,A,A,A,T,A,A,A,T,A,A,A,T,T,T,B,T,B,A,A,T,T,T,T,A,A,A,F
22,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,A,T,T,T,T,A,A,A,T,T,T,T,A,A,B,T,T,T,T,T,A,A,A,T,A,A,A,A,T,T,T,T,A,A,A,T,A,A,A,A,A,T,T,A,A,A,A,A,A,T,T,T,A,A,A,T,T,T,T,T,T,A,A,A,A,T,T,T,B,T,B,A,A,T,T,T,T,A,A,A,F
23,F,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,A,A,A,T,A,A,A,T,T,T,A,A,A,A,T,T,T,B,T,A,A,A,T,A,A,A,T,A,A,A,A,A,T,A,A,A,A,A,T,A,A,A,A,A,T,T,A,A,A,A,A,A,A,A,T,A,A,A,T,T,T,T,T,T,A,A,A,A,A,A,A,B,A,B,T,T,T,T,T,T,A,A,A,F
24,F,T,T,A,A,A,A,T,T,T,T,T,T,A,A,A,T,T,T,T,A,A,A,T,T,T,A,A,A,A,T,T,T,B,T,A,A,A,A,A,A,A,A,A,A,A,A,A,T,A,A,A,T,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,A,T,A,A,A,T,T,T,T,T,A,A,A,A,A,A,A,A,B,A,B,B,A,T,T,T,T,A,A,A,F
25,F,T,T,A,A,A,A,T,T,T,T,T,T,A,A,A,T,T,T,T,A,A,A,T,T,T,A,A,A,A,T,T,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,T,T,T,T,T,T,A,A,A,T,A,A,A,A,A,A,A,A,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,A,B,A,B,B,A,T,T,T,T,A,A,A,F
26,F,T,T,A,A,A,T,T,T,T,T,A,A,A,A,A,T,T,T,A,A,A,T,T,A,A,A,T,A,A,A,T,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,T,A,A,A,A,A,A,A,A,A,T,A,A,A,A,A,T,T,A,A,A,A,A,T,T,T,A,A,A,T,T,T,A,A,A,A,A,A,A,A,B,T,B,B,A,T,T,T,A,A,A,T,F
27,F,T,T,T,T,T,T,T,A,A,A,A,A,A,T,T,T,T,T,A,A,A,T,T,A,A,A,A,A,A,A,T,A,A,A,B,A,A,A,A,T,T,T,T,A,A,A,T,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,T,T,A,A,A,T,T,T,T,T,A,A,A,A,T,T,A,A,A,A,A,A,A,A,B,A,B,B,T,T,T,B,A,A,A,T,F
28,F,T,T,T,T,T,T,T,A,A,A,A,A,A,T,T,T,T,T,A,A,A,T,T,B,A,A,A,A,A,A,A,A,A,A,B,T,T,A,A,A,T,T,T,A,A,A,A,T,T,T,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,T,T,T,T,T,A,A,A,A,T,B,T,T,T,A,A,A,A,A,B,A,B,B,T,T,T,B,A,A,A,T,F
29,F,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,T,T,T,T,B,T,A,A,A,A,A,A,A,A,A,B,T,T,A,A,A,T,T,A,A,A,A,A,A,T,T,A,A,A,T,T,A,A,A,A,A,T,A,A,A,A,A,A,T,T,T,T,T,T,A,A,A,T,B,T,B,B,B,B,B,B,B,B,B,B,B,T,T,T,B,A,A,A,T,F
30,F,T,T,T,T,T,A,A,A,T,A,A,A,T,T,T,T,T,T,T,T,T,T,T,B,T,A,A,A,A,A,A,A,A,A,B,T,T,A,A,A,T,T,A,A,A,A,A,A,T,T,T,T,T,T,A,A,A,A,A,A,T,A,A,A,A,A,A,A,T,T,T,A,A,A,T,T,T,B,T,T,T,T,T,A,A,A,B,A,T,B,A,A,T,B,T,T,T,T,F
31,F,T,T,T,T,T,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,T,T,B,T,A,A,A,A,A,T,T,B,T,B,T,T,A,A,A,T,T,A,A,A,A,A,A,T,T,T,T,T,T,A,A,A,A,A,A,T,A,A,A,A,A,A,A,T,T,T,A,A,A,T,A,A,B,T,T,T,T,T,A,A,A,T,T,T,B,A,A,A,B,T,A,A,A,F
32,F,T,T,T,T,T,A,A,A,T,A,A,A,A,A,A,A,T,T,A,A,A,T,T,B,T,T,T,T,T,T,T,T,B,T,B,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,A,A,A,A,A,T,T,T,T,T,A,A,A,A,A,A,T,T,T,A,A,A,A,A,A,B,T,T,T,T,T,T,T,T,T,A,A,B,A,A,A,B,T,A,A,A,F
33,F,T,T,T,T,T,A,A,A,T,T,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,T,T,B,B,B,B,B,B,B,B,B,B,B,T,T,T,A,A,A,T,T,T,T,A,A,A,T,A,A,A,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,A,A,A,B,T,T,T,T,T,T,T,T,T,A,A,B,A,A,A,B,A,A,A,A,F
34,F,T,A,A,A,T,A,A,A,T,T,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,T,T,T,A,A,A,B,T,B,T,T,T,T,T,T,A,A,A,T,A,A,A,A,A,A,A,A,A,A,T,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,A,A,A,B,A,A,A,T,A,A,A,T,T,A,A,B,A,A,A,B,A,A,T,T,F
35,F,T,A,A,A,T,T,T,T,A,A,A,T,A,A,A,A,A,A,T,T,T,A,A,B,A,T,T,T,T,A,A,A,B,T,B,T,T,T,A,A,A,T,T,T,T,A,A,A,A,A,A,A,A,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,A,A,A,T,T,T,T,A,B,A,A,A,T,A,A,A,T,T,T,T,A,A,A,A,B,A,A,T,T,F
36,F,T,A,A,A,T,T,T,A,A,A,A,T,T,T,T,A,A,A,A,A,T,A,A,B,T,T,T,T,T,T,T,T,B,T,B,T,T,T,A,A,A,T,T,T,T,A,A,B,B,B,B,B,B,B,B,B,B,B,T,T,T,T,T,T,T,A,A,A,A,A,A,A,T,T,T,T,A,B,A,A,A,T,A,A,A,A,A,T,T,A,A,A,T,B,T,T,T,T,F
37,F,T,T,T,T,A,A,A,A,A,A,A,T,T,T,T,T,T,A,A,A,T,T,T,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,A,T,T,T,A,A,A,T,T,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,T,A,A,A,A,A,A,A,T,T,T,T,A,B,A,T,A,A,A,T,A,A,A,A,T,A,A,A,T,B,T,T,T,T,F
38,F,T,T,T,T,A,A,A,A,A,A,T,T,T,T,T,T,T,A,A,A,A,A,T,B,A,A,A,A,A,A,A,A,B,T,T,T,A,A,A,A,A,T,T,T,A,A,A,A,A,B,A,A,A,A,A,A,T,T,A,A,A,A,A,A,A,A,A,A,A,A,A,T,T,A,A,A,T,B,T,T,A,A,A,T,A,A,A,A,T,T,T,T,A,A,A,T,T,T,F
39,F,T,T,T,T,A,A,A,A,A,T,T,A,B,A,T,T,T,T,T,A,A,A,T,B,A,A,A,A,A,A,A,A,B,T,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,A,A,A,A,A,A,T,T,A,A,A,A,A,A,A,A,A,T,A,A,A,A,A,A,A,A,T,T,T,T,A,A,A,T,T,A,A,A,T,T,A,A,A,A,A,T,T,T,F
40,F,T,T,T,T,T,A,A,A,A,T,T,A,B,A,T,T,T,T,T,A,A,A,A,B,A,A,T,T,A,A,A,A,B,T,T,T,A,A,A,A,A,T,T,A,A,A,A,A,A,B,A,A,A,A,A,B,T,A,A,A,A,A,A,A,A,A,A,T,T,A,A,A,A,A,A,A,T,T,T,B,T,T,T,T,T,T,A,A,A,T,A,A,A,A,A,T,T,T,F
41,F,T,T,T,T,T,A,A,A,A,T,T,A,B,A,T,T,T,T,T,T,A,A,A,B,A,A,A,A,A,A,A,A,B,T,T,T,T,T,T,A,A,B,T,A,A,A,A,T,T,B,T,T,T,A,A,B,A,A,A,A,A,A,A,A,T,T,T,T,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,T,A,A,A,A,A,A,A,T,T,T,T,T,F
42,F,T,T,T,T,T,T,T,T,T,T,T,T,B,T,T,T,T,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,T,T,T,T,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,T,B,A,A,A,A,A,A,A,A,T,T,T,T,A,A,A,T,T,T,T,T,A,A,A,B,A,A,A,A,A,T,A,A,A,A,A,A,T,T,T,T,T,T,F
43,F,T,T,A,A,A,T,T,T,T,T,T,T,B,T,T,T,T,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,T,T,T,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,T,B,A,A,A,A,A,A,A,A,A,A,T,T,A,A,A,T,T,T,T,T,A,A,A,B,A,A,A,A,A,T,T,T,T,A,A,A,A,T,T,T,T,T,F
44,F,T,T,A,A,A,T,T,T,T,T,T,T,B,T,T,T,T,A,A,A,T,T,T,B,A,A,A,A,T,T,T,A,A,A,T,A,A,A,A,A,T,B,A,A,T,A,A,A,A,B,A,A,A,A,T,B,T,T,T,T,T,T,T,A,A,A,T,T,A,A,A,T,T,T,T,A,A,A,A,B,T,A,A,A,T,T,T,B,B,B,B,B,B,B,B,B,B,B,F
45,F,T,T,A,A,A,T,T,T,T,T,T,T,B,A,A,T,T,A,A,A,T,T,T,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,T,B,T,T,T,T,A,A,A,B,T,T,T,T,T,B,B,B,B,B,B,B,B,B,B,B,B,T,A,A,A,A,A,A,T,A,A,A,A,B,T,A,A,A,T,T,T,A,A,A,A,A,A,A,A,A,A,A,F
46,F,T,T,A,A,A,A,A,A,A,A,T,T,B,A,A,A,A,A,A,A,T,T,B,B,T,A,A,A,A,A,A,A,A,A,A,A,A,T,A,A,A,B,A,T,T,T,A,A,A,B,T,T,T,T,A,B,A,T,T,T,T,T,T,T,T,T,T,T,T,T,T,A,A,A,T,A,A,A,A,B,A,A,A,A,T,T,T,A,A,A,A,T,T,A,A,A,A,A,F
47,F,T,A,A,A,A,A,A,A,A,A,T,T,B,A,A,A,A,A,A,A,T,T,B,B,T,T,T,A,A,A,A,T,T,T,A,A,A,T,A,A,A,B,A,T,T,T,A,A,A,B,T,T,T,T,A,B,A,A,A,A,A,A,T,T,T,T,A,A,A,T,T,A,A,A,T,T,T,A,A,B,A,A,A,A,T,T,T,A,A,A,T,A,A,A,A,A,A,A,F
48,F,T,A,A,A,A,A,A,A,A,A,T,T,B,T,B,A,A,T,T,T,T,T,B,T,T,T,T,A,A,A,T,T,T,T,T,T,T,T,A,A,A,B,A,T,T,T,A,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,T,A,A,A,T,T,T,T,T,T,T,T,A,A,B,A,A,A,A,A,T,T,T,T,A,A,A,A,A,A,A,A,A,F
